filename,width,height,class,xmin,ymin,xmax,ymax
f_f00001_20190327T223615_0.jpg,768,432,chickpea,74,167,140,227
f_f00001_20190327T223615_0.jpg,768,432,chickpea,268,177,341,258
f_f00001_20190327T223615_0.jpg,768,432,chickpea,375,334,482,397
f_f00001_20190327T223615_1.jpg,768,432,chickpea,269,228,369,290
f_f00001_20190327T223615_1.jpg,768,432,chickpea,171,233,236,274
f_f00001_20190327T223615_1.jpg,768,432,chickpea,182,348,260,422
f_f00001_20190327T223615_1.jpg,768,432,chickpea,174,263,259,330
f_f00001_20190327T223615_10.jpg,768,432,chickpea,300,121,421,216
f_f00001_20190327T223615_10.jpg,768,432,chickpea,194,152,310,227
f_f00001_20190327T223615_10.jpg,768,432,chickpea,481,139,582,233
f_f00001_20190327T223615_10.jpg,768,432,chickpea,622,163,683,210
f_f00001_20190327T223615_10.jpg,768,432,chickpea,404,286,479,362
f_f00001_20190327T223615_10.jpg,768,432,chickpea,189,274,303,357
f_f00001_20190327T223615_2.jpg,768,432,chickpea,431,286,517,345
f_f00001_20190327T223615_2.jpg,768,432,chickpea,364,283,435,351
f_f00001_20190327T223615_2.jpg,768,432,chickpea,276,282,366,357
f_f00001_20190327T223615_2.jpg,768,432,chickpea,124,290,241,352
f_f00001_20190327T223615_2.jpg,768,432,chickpea,167,130,240,192
f_f00001_20190327T223615_2.jpg,768,432,chickpea,274,108,352,221
f_f00001_20190327T223615_2.jpg,768,432,chickpea,346,98,478,195
f_f00001_20190327T223615_2.jpg,768,432,chickpea,464,123,564,198
f_f00001_20190327T223615_3.jpg,768,432,chickpea,416,332,473,374
f_f00001_20190327T223615_3.jpg,768,432,chickpea,291,315,364,393
f_f00001_20190327T223615_3.jpg,768,432,chickpea,157,331,243,396
f_f00001_20190327T223615_3.jpg,768,432,chickpea,167,176,219,248
f_f00001_20190327T223615_3.jpg,768,432,chickpea,243,173,350,243
f_f00001_20190327T223615_3.jpg,768,432,chickpea,349,181,427,250
f_f00001_20190327T223615_3.jpg,768,432,chickpea,464,191,533,254
f_f00001_20190327T223615_3.jpg,768,432,chickpea,350,309,404,348
f_f00001_20190327T223615_4.jpg,768,432,chickpea,451,133,533,208
f_f00001_20190327T223615_4.jpg,768,432,chickpea,396,274,503,388
f_f00001_20190327T223615_4.jpg,768,432,chickpea,190,303,252,385
f_f00001_20190327T223615_4.jpg,768,432,chickpea,286,144,389,213
f_f00001_20190327T223615_4.jpg,768,432,chickpea,243,263,334,324
f_f00001_20190327T223615_4.jpg,768,432,chickpea,232,175,320,249
f_f00001_20190327T223615_4.jpg,768,432,chickpea,485,160,599,243
f_f00001_20190327T223615_5.jpg,768,432,chickpea,450,107,591,231
f_f00001_20190327T223615_5.jpg,768,432,chickpea,352,113,455,230
f_f00001_20190327T223615_5.jpg,768,432,chickpea,273,157,354,244
f_f00001_20190327T223615_5.jpg,768,432,chickpea,196,162,276,251
f_f00001_20190327T223615_5.jpg,768,432,chickpea,248,277,352,399
f_f00001_20190327T223615_5.jpg,768,432,chickpea,472,341,531,379
f_f00001_20190327T223615_6.jpg,768,432,chickpea,592,285,675,343
f_f00001_20190327T223615_6.jpg,768,432,chickpea,489,282,558,346
f_f00001_20190327T223615_6.jpg,768,432,chickpea,194,282,260,353
f_f00001_20190327T223615_6.jpg,768,432,chickpea,186,177,273,265
f_f00001_20190327T223615_6.jpg,768,432,chickpea,315,148,397,235
f_f00001_20190327T223615_6.jpg,768,432,chickpea,500,125,534,196
f_f00001_20190327T223615_7.jpg,768,432,chickpea,559,261,628,338
f_f00001_20190327T223615_7.jpg,768,432,chickpea,451,238,520,325
f_f00001_20190327T223615_7.jpg,768,432,chickpea,479,122,586,202
f_f00001_20190327T223615_7.jpg,768,432,chickpea,343,120,419,183
f_f00001_20190327T223615_7.jpg,768,432,chickpea,235,101,332,190
f_f00001_20190327T223615_7.jpg,768,432,chickpea,138,115,215,182
f_f00001_20190327T223615_7.jpg,768,432,chickpea,110,267,195,333
f_f00001_20190327T223615_9.jpg,768,432,chickpea,464,300,541,344
f_f00001_20190327T223615_9.jpg,768,432,chickpea,389,272,471,345
